short,географическое распростонение,"Длина
",Ширина,leaf_ind,Площадь,curvtop,curvbasis,Длина контура,circularity,pwid,BIO 1,BIO 2,BIO3,BIO 4,BIO 5,BIO 6,BIO 7,BIO 8,BIO 9,BIO 10,BIO 11,BIO 12,BIO 13,BIO 14,BIO 15,BIO 16,BIO 17,BIO 18,BIO 19
VLAD,континентальное,"3,0522","1,4196","0,4651","2,9491","5,1712","1,1817","6,9839","3,9726","-0,0303","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,0439","1,523","0,5003","3,4677","2,3874","3,5803","7,2629","2,6454","0,0407","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,238","1,4839","0,4583","3,4632","2,4719","1,4425","7,4697","3,5446","-0,014","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,711","1,3091","0,3528","3,4985","3,5397","2,3203","8,1447","6,3948","0,0272","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,8033","2,0561","0,5406","5,44","3,8834","4,4604","9,0249","2,4057","0,0148","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,0619","1,5567","0,5084","3,3444","3,2107","4,8943","7,1756","2,8293","-0,0165","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"4,3976","1,7557","0,3992","5,1248","6,7441","5,0569","9,7156","5,8523","-0,0506","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,3558","1,3865","0,4132","3,3472","2,3568","6,9122","7,6265","4,8102","0,0475","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,4749","1,656","0,4766","4,0378","3,4829","7,3559","8,0304","3,4046","0,0009","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"4,359","1,8427","0,4227","5,8533","2,7444","5,6721","9,9172","4,2364","0,0226","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"5,0511","2,2176","0,439","7,9176","6,1982","3,0969","11,4713","4,0536","0,0125","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"5,2247","2,0039","0,3835","6,9775","5,8465","4,2249","11,5081","6,4141","-0,0689","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"5,1987","1,7551","0,3376","6,5018","3,5242","7,2054","11,3833","7,3632","0,0216","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"4,9112","1,7723","0,3609","6,0766","4,1581","4,6852","10,7936","6,606","0,0279","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"3,5259","1,2802","0,3631","3,3523","2,0003","4,4508","7,9008","6,0543","0,0372","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"4,5935","1,7683","0,385","5,6495","3,7604","6,7605","10,1911","5,8172","0,0081","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
VLAD,континентальное,"4,066","1,7558","0,4318","4,7635","3,5043","1,3689","9,1109","4,8593","-0,0563","4,63","8,96","2,1","1138,61","24,21","-17,53","41,74","18,29","-11,02","18,29","-11,02","702,44","145,55","7,68","75,34","366,64","33,42","366,05","33,42"
